,bin0,bin1,bin2,bin3,bin4
7.6640,"[0.13369355720279166, 0.07977635919855212, -0.24562898054856555, -0.07041975220087913, -0.12882600923755386]","[0.23851869074123597, 0.04955925585714437, -0.07041975220087913, -0.013464376232398823, -0.039117672651723015]","[0.28085855228853784, 0.04515621424580461, -0.013464376232398823, 0.02125734886786395, 0.004121412967294685]","[0.3253754889157692, 0.04975047283323739, 0.02125734886786395, 0.06170795803505535, 0.03977696710502855]","[0.40445304266381593, 0.0726015347323473, 0.06170795803505535, 0.3142037948811852, 0.10460923756733959]"
7.5700,"[0.13510252129924377, 0.08000248637260343, -0.24741902105362398, -0.0710738741727827, -0.12995267792198764]","[0.25289434317344633, 0.053170873754655325, -0.0710738741727827, -0.013438070465370398, -0.03946931177602456]","[0.29527644510109774, 0.05103120278602622, -0.013438070465370398, 0.021505841586216032, 0.00417098414939188]","[0.3311540973668519, 0.05493979867863981, 0.021505841586216032, 0.0617601678732255, 0.04001829700608443]","[0.3998349066900042, 0.06452006231310801, 0.0617601678732255, 0.31620895938986326, 0.10509652800597116]"
7.4800,"[0.14412332776985073, 0.08135175014493005, -0.2494090324236275, -0.0716798733679241, -0.13113670861145066]","[0.2600721299336246, 0.05480833481553491, -0.0716798733679241, -0.013940518412097773, -0.03998803772930959]","[0.30049034559266, 0.04984834537341707, -0.013940518412097773, 0.02171547003871578, 0.003988085712364247]","[0.33611621379326956, 0.05330484218902626, 0.02171547003871578, 0.06291654437262652, 0.04013544386423639]","[0.4185305721730948, 0.0772806882889072, 0.06291654437262652, 0.3259322477609151, 0.10637732695090263]"
7.3910,"[0.15520511202748213, 0.08563337638741743, -0.25117218073504927, -0.07198905163597323, -0.1321536035871286]","[0.2725927597695149, 0.058719557810751374, -0.07198905163597323, -0.014020305491108987, -0.04029829264822827]","[0.31785245504252824, 0.04721902128378529, -0.014020305491108987, 0.02191621983327079, 0.004083016863962327]","[0.35440528742378646, 0.05006377389121237, 0.02191621983327079, 0.06295384078915668, 0.04054240830331668]","[0.4259404967624479, 0.06248093622990914, 0.06295384078915668, 0.3197313353321176, 0.1068732235456249]"
7.3050,"[0.16197851663501014, 0.08316322580950355, -0.25297345386732056, -0.07280611087556761, -0.13326282860306957]","[0.28568196939027396, 0.058053741015454734, -0.07280611087556761, -0.01435011349525749, -0.040724555210179154]","[0.3205053863240406, 0.049787266395467475, -0.01435011349525749, 0.021762445260383068, 0.0039714217171269535]","[0.3608747274182664, 0.0488657327081035, 0.021762445260383068, 0.06331859882891389, 0.040750096872354515]","[0.43985734557605743, 0.06724106077370678, 0.06331859882891389, 0.32551500527600086, 0.10797194232213496]"
7.2210,"[0.17201142358506388, 0.08082882169007319, -0.2503260503556182, -0.07148057945218304, -0.13091173380344934]","[0.28546070826876235, 0.05505374632659977, -0.07148057945218304, -0.013507182502091637, -0.03956704166835089]","[0.32680711807103713, 0.048853222208957096, -0.013507182502091637, 0.02179285096554667, 0.004343816977035833]","[0.3645146188004841, 0.051737694624361265, 0.02179285096554667, 0.06238101817187884, 0.040362805569289395]","[0.4402902666980923, 0.06832572024971344, 0.06238101817187884, 0.31519614372674226, 0.10564256122444324]"
7.1390,"[0.18049738209381497, 0.0804845309457965, -0.25161877044219494, -0.07183334706127739, -0.13162490036407468]","[0.2938182694977181, 0.05510005742735252, -0.07183334706127739, -0.01359245955744231, -0.039797588979183146]","[0.3349442169600156, 0.048829341508009896, -0.01359245955744231, 0.021878251216383246, 0.004342773315382771]","[0.3726466846364304, 0.05170590802763065, 0.021878251216383246, 0.06270170426924372, 0.04054729527780085]","[0.4483088958456682, 0.0682573941535743, 0.06270170426924372, 0.31660360241423796, 0.10614096146486739]"
7.0590,"[0.18873634839248185, 0.08014863753674606, -0.2528866962389582, -0.07217924572813542, -0.13232459982875536]","[0.3019373439918037, 0.055145238989062526, -0.07217924572813542, -0.013676127163618634, -0.04002384147059152]","[0.34284972180653095, 0.04880604326318336, -0.013676127163618634, 0.02196185829597405, 0.004341660491249347]","[0.38054789089419844, 0.051674896713747115, 0.02196185829597405, 0.06301628801125024, 0.04072817412659993]","[0.4561004049560194, 0.06819073454758491, 0.06301628801125024, 0.31798357952129735, 0.10662970543210261]"
6.9810,"[0.19673149846357227, 0.07982114146292188, -0.2541293477858566, -0.07251815163867574, -0.1330105528362663]","[0.30982063672622434, 0.05518929101172978, -0.07251815163867574, -0.013758151850480491, -0.04024570477564994]","[0.3505262257821637, 0.04878332747447748, -0.013758151850480491, 0.02204365120546787, 0.00434048507022307]","[0.38822077940984184, 0.051644660682710675, 0.02204365120546787, 0.06332464703252515, 0.040905378673867586]","[0.46366726777952244, 0.06812574143174524, 0.06332464703252515, 0.31933558713757393, 0.10710861497994914]"
6.9050,"[0.2044859036196587, 0.07950204272432397, -0.2553462547513986, -0.0728499434847645, -0.13368248556650686]","[0.31747076975917443, 0.05523221349535428, -0.0728499434847645, -0.013838500812121698, -0.04046308638352937]","[0.35797624151266827, 0.04876119414189227, -0.013838500812121698, 0.022123609412862448, 0.004339253509142605]","[0.395667813586733, 0.05161519993452132, 0.022123609412862448, 0.06362666140345699, 0.04107884676360135]","[0.47101188056486615, 0.06806241480605532, 0.06362666140345699, 0.3206591471440856, 0.10757751553756088]"
6.8300,"[0.21210388122775709, 0.07918714265333919, -0.25655308656695625, -0.0731788985850812, -0.1343490399115891]","[0.32499034921795, 0.055274571209457404, -0.0731788985850812, -0.013918207390178008, -0.040678779252867926]","[0.3652996613610987, 0.04873935203736739, -0.013918207390178008, 0.022202769996291283, 0.004337954279111907]","[0.4029888096491281, 0.05158612682775551, 0.022202769996291283, 0.06392621768445941, 0.0412508155928467]","[0.4782326628706905, 0.06799992142544026, 0.06392621768445941, 0.3219713266269581, 0.10804244972228869]"
6.7570,"[0.2194860753436804, 0.07888063991758067, -0.2577334153826011, -0.07350054400607448, -0.13500113244832354]","[0.3322810065245095, 0.055315799384517784, -0.07350054400607448, -0.013996185343898444, -0.04088984125486483]","[0.3724006530647706, 0.04871809238896317, -0.013996185343898444, 0.022280062762815415, 0.004336609317499812]","[0.4100879321465952, 0.05155782900383679, 0.022280062762815415, 0.06421923592905637, 0.041418947734927]","[0.48523506694819013, 0.06793909453497493, 0.06421923592905637, 0.32325428752355545, 0.10849709341772187]"
6.6860,"[0.22663529591477136, 0.07858253451704841, -0.2588867950797282, -0.07381476473965976, -0.13563850329554522]","[0.3393451555235762, 0.05535589802053541, -0.07381476473965976, -0.01407240353825908, -0.04109618454896155]","[0.3792815272896182, 0.04869741519667962, -0.01407240353825908, 0.02235546835102424, 0.004335224805966688]","[0.4169674476911531, 0.05153030646276516, 0.02235546835102424, 0.06450560233424904, 0.04158318426630149]","[0.49202129483756313, 0.06787993413465934, 0.06450560233424904, 0.32450757633694094, 0.10894128104382303]"
6.6170,"[0.2335542540874925, 0.0782928264517424, -0.26001278979564013, -0.07412144843968842, -0.136260898495085]","[0.34618512987932726, 0.05539486711751029, -0.07412144843968842, -0.014146831548127979, -0.04129772328383792]","[0.38594451722692114, 0.04867732046051673, -0.014146831548127979, 0.022428967881738437, 0.004333806802764631]","[0.4236295472663722, 0.05150355920454061, 0.022428967881738437, 0.06478520569777863, 0.041743467628702874]","[0.4985934742457691, 0.06782244022449349, 0.06478520569777863, 0.32573074999840546, 0.10937485082835471]"
